ID,Name,Regular price,Description,Categories
5458,Authority Marketing,499,Top 8 Strategies for Boosting Sales and positioning yourself as an Authority in your Niche!,General
5492,Automated Content Machine,499,Unlock the Power of AI to Generate High-Quality Content in Minutes!,General
5501,Beyond The Noise,499,"Listen to your customers, Win the Market: The Proven Method to Use Social Listening to Boost Your Business and Crush Your Competitors",General
5505,Digital Agency,999,Find out everything you need to know about creating a Digital Marketing Agency!,Digital Marketing
5514,Business Amplified,499,Level up your business quickly &amp; easily with fast and easy strategies proven to work!,General
5517,Co-Marketing Chronicles,499,From Collaboration to Domination; Transforming Your Brand Success with Collaborative Marketing,General
5520,Content Alchemy,999,Learn the art of Long-Form Alchemy: Transforming your content into a captivating force!,Digital Marketing
5523,Content Goldmine,999,"Find out how you can protect, Sell and Generate Nonstop Leads from your Content",Digital Marketing
5526,Creator Economy,499,Discover how to launch a Stand-out Brand in the profitable and exciting era of Creators,General
5529,Digital Rocket Fuel,999,Create in-demand Digital Products Faster and easier than you ever thought Possible,Digital Marketing
5532,Email Marketing,999,Skyrocket your income with High-Powered email marketing campaigns,Digital Marketing
5535,Fail Proof Headlines,999,Discover the Goldmines of Writing Captivating Headlines that capture attention and turn into CASH,Digital Marketing
5538,Insider Pricing Strategies,499,Boost your sales and set your business up for long-term success with these Proven Strategies!,General
5541,Laser Focused Entrepreneur,499,Productivity Hacks for Hustlers: How to zero in on Success and crush your goals,General
5544,Lead Gen Mastery,999,Generate unlimited leads and maximize your income with tried-and-true connection strategies,Digital Marketing
5547,Magnetic Marketing,499,"Turning Heads, Winning Hearts: Propel your online influence and turbocharge conversions",General
5550,Marketing Automation,999,Discover the top strategies for using the power of automation to grow your business,Digital Marketing
5553,Messaging Mavericks,999,From chats to conversions: crafting a winning social messaging strategy,Digital Marketing
5556,Micro Influencer Magic,499,Everything you need to know to harness the power of Niche Influencers for your business!,General
5559,Profit Funnels,999,Quick Start guide to creating Profitable Sales Funnels!,Digital Marketing
5562,Recurring Income Strategies,499,Inject a recurring revenue stream into your business and skyrocket your income instantly,General
5565,Snackable Content,999,Join the micro evolution and harness the power of short-form video content!,Digital Marketing
5568,Storytelling Marketing,499,"Tell Stories, Sell Products: How Storytelling campaigns can maximize your sales potential and boost your brand authority",General
5571,Success Mindset,499,Learn how to nurture a mindset of success to become an unstoppable entrepreneur,General
5574,The Art & Science of Interactive Content,999,Reach more people than ever before with targeted interactive content campaigns,Digital Marketing
5577,The Copywriters Handbook,999,Every swipe file you will ever need to master speed copywriting,Digital Marketing
5580,The Course Mastery Blueprint,499,Find out how you can create &amp; launch a wildly successful course quickly and easily to make 6 figures/ month,General
5583,The Digital Empire,999,Establishing a profitable business by producing in-demand digital products,Digital Marketing
5586,The Email Pro's Blueprint,999,"Effortlessly build, expand and promote your mailing list using the most efficient and effective methods available!",Digital Marketing
5589,The Niche Navigator,499,"Chart Your Niche Course: Find your specialization, and maximize profits!",General
5592,The Repurpose Effect,499,"Tools, Techniques and Tactics: Leveraging resources for successful content repurposing and audience growth",General
5595,The UGC Playbook,999,Tap into the crowd: Squeeze the power of user-generated content,Digital Marketing
5598,Time For Success,499,"How to effectively manage your time, boost productivity and get on the path to success!",General
5601,The Ultimate Conversion Booster,999,Revealed the proven strategies to increase conversion rates,Digital Marketing
5604,The Ultimate Hustle,499,Add thousands of dollars to your monthly income with profitable online side hustles!,General
5607,Unlock Your Potential Beyond the 9-5,499,Make a fortune online with side hustles that work,General
5610,The Video Funnel Blueprint,999,Discover how you can maximize profits with highly targeted video-powered sales funnels!,Digital Marketing
5613,YouTube Advertising,999,Find out how you can maximize exposure with affordable YouTube Advertising!,Digital Marketing
